DLL Author Name,Authorized Name,DLL Work Record
"44529 : Anastasius I, Pope","Anastasius I, Pope",Epistola Anastasii Romanae Urbis Episcopi Ad Joannem Hierosolymorum Episcopum (80066)
"44529 : Anastasius I, Pope","Anastasius I, Pope",Epistolae duae Anastasio Perperam attributae (80067)
"44529 : Anastasius I, Pope","Anastasius I, Pope",Epistolae et Decreta (80068)
"44531 : Agnellus, of Ravenna, Abbot","Agnellus, of Ravenna, Abbot",Ad Armenium Epistola 'De Ratione Fidei' (90733)
"44531 : Agnellus, of Ravenna, Abbot","Agnellus, of Ravenna, Abbot",Liber pontificalis ecclesiae Rauennatis (82210)
"44532 : Andreas, Capellanus","Andreas, Capellanus",De amore (82299)
"44533 : Andrew, of Fleury","Andrew, of Fleury",Miracula Sancti Benedicti (82297)
"44536 : Boethius, -524","Boethius, -524",Quomodo trinitas unus Deus ac non tres dii (82539)
"44536 : Boethius, -524","Boethius, -524",Utrum Pater et Filius et Spiritus sanctus de diuinitate substantialiter praedicentur (82540)
"44536 : Boethius, -524","Boethius, -524",De institutione musica (82541)
"44536 : Boethius, -524","Boethius, -524",Speculatio De Rhethoricae Cognatione (82542)
"44536 : Boethius, -524","Boethius, -524",Peri hermeneias liber Aristotelis latine uersus (84194)
"44536 : Boethius, -524","Boethius, -524",Locorum Rhethoricorum Distinctio (82543)
"44536 : Boethius, -524","Boethius, -524",Analyticorum Aristotelis Posteriorum (Analytica) (82544)
"44536 : Boethius, -524","Boethius, -524",Analyticorum Aristotelis Priorum  (Analytica) (82545)
"44536 : Boethius, -524","Boethius, -524",Categoriae (82546)
"44536 : Boethius, -524","Boethius, -524",De sophisticis elenchis (82547)
"44536 : Boethius, -524","Boethius, -524",Topica (82548)
"44536 : Boethius, -524","Boethius, -524",Commentaria in Porphyrium A Se Translatum (82520)
"44536 : Boethius, -524","Boethius, -524",Commentaria in Ciceronis Topica (82521)
"44536 : Boethius, -524","Boethius, -524",De Definitione (82522)
"44536 : Boethius, -524","Boethius, -524",De Disciplina Scholarum (82523)
"44536 : Boethius, -524","Boethius, -524",De diuisione (82524)
"44536 : Boethius, -524","Boethius, -524",De fide catholica (82525)
"44536 : Boethius, -524","Boethius, -524",De geometria (dub.) (82526)
"44536 : Boethius, -524","Boethius, -524",De Hypothetico Libri (82527)
"44536 : Boethius, -524","Boethius, -524",De institutione arithmetica (82528)
"44536 : Boethius, -524","Boethius, -524",De Syllogismo Categorico (82529)
"44536 : Boethius, -524","Boethius, -524",De Syllogismo Hypothetico (82530)
"44536 : Boethius, -524","Boethius, -524",De topicis differentiis (82531)
"44536 : Boethius, -524","Boethius, -524",In Categorias Aristotelis libri IV (82532)
"44536 : Boethius, -524","Boethius, -524",In librum Aristotelis Peri hermeneias commentarii (82533)
"44536 : Boethius, -524","Boethius, -524",In Porphyrii Isagogen commentorum editio prima (82534)
"44536 : Boethius, -524","Boethius, -524",Euclidis Megarensis Geometriae Libri Duo Ab A M Severino Boethio Translati (82535)
"44536 : Boethius, -524","Boethius, -524",Liber contra Eutychen et Nestorium (82536)
"44536 : Boethius, -524","Boethius, -524",Philosophiae consolatio (82537)
"44536 : Boethius, -524","Boethius, -524","Quomodo substantiae in eo, quod sint, bonae sint (82538)"
"44538 : Anselm II, Saint, Bishop of Lucca","Anselm II, Saint, Bishop of Lucca",Contra Wicbertum et sequaces eius (82323)
"44538 : Anselm II, Saint, Bishop of Lucca","Anselm II, Saint, Bishop of Lucca",Liber contra eos qui dicunt regali potestati Christi ecclesiam subiacere (82324)
"44539 : Anselmus, Peripateticus","Anselmus, Peripateticus",Rhetorimachia (82319)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",Epistulae (82314)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",Fragmenta philosophica (82315)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",Monologion (82316)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",Orationes siue meditationes (82317)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",Proslogion (82318)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",Cur deus homo (82303)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",De casu diaboli (82304)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",De conceptu uirginali et de originali peccato (82305)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",De concordia praescientiae et praedestinationis et gratiae dei cum libero arbitrio (82306)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",De grammatico (82307)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",De libertate arbitrii (82308)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",De processione spiritus sancti (82309)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",De ueritate (82310)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",Epistula de incarnatione uerbi (82311)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",Epistula de sacramentis ecclesiae (82312)
"44540 : Anselm, Saint, Archbishop of Canterbury","Anselm, Saint, Archbishop of Canterbury",Epistula de sacrificio azimi et fermentati (82313)
"44541 : Anselm, of Laon, -1117","Anselm, of Laon, -1117",Glossae super Iohannem (82320)
"44542 : Anselm, of Liège","Anselm, of Liège",Epistula ad Annonem episcopum Coloniensem (82321)
"44542 : Anselm, of Liège","Anselm, of Liège","Gesta episcoporum Tungrensium, Traiectensium et Leodiensium (82322)"
"44543 : Antonino, of Piacenza, Saint","Antonino, of Piacenza, Saint",Itinerarium (80069)
"44544 : Antonius, Monk, 470","Antonius, Monk, 470",Vita Sancti Simeonis (90734)
44546 : Apuleius,Apuleius,Asclepius (dub.) (84222)
44546 : Apuleius,Apuleius,Anechomenos (80070)
44546 : Apuleius,Apuleius,Apologia (80071)
44546 : Apuleius,Apuleius,Carmina (80072)
44546 : Apuleius,Apuleius,De Deo Socratis (80073)
44546 : Apuleius,Apuleius,"De deo Socratis, praef. (dub.) (80074)"
44546 : Apuleius,Apuleius,De Mundo (80075)
44546 : Apuleius,Apuleius,De Platone et Eius Dogmate (80076)
44546 : Apuleius,Apuleius,Florida (80077)
44546 : Apuleius,Apuleius,Fragmenta (80078)
44546 : Apuleius,Apuleius,Metamorphoses (80079)
44546 : Apuleius,Apuleius,Peri hermeneias (De interpretatione) (80080)
44546 : Apuleius,Apuleius,Psyche et Cupido (91584)
"44547 : Aquila, Romanus","Aquila, Romanus",De figuris sententiarum et elocutionis liber (80081)
"44548 : Arator, Subdiaconus","Arator, Subdiaconus",Epistola Ad Parthenium (80082)
"44548 : Arator, Subdiaconus","Arator, Subdiaconus",Epistola Aratoris Ad Florianum (80083)
"44548 : Arator, Subdiaconus","Arator, Subdiaconus",Epistola Ejusdem Ad Vigilium (80084)
"44548 : Arator, Subdiaconus","Arator, Subdiaconus",Historia apostolica (80085)
44551 : Archipoeta,Archipoeta,Carmina (82328)
"44553 : Arnobius, of Sicca","Arnobius, of Sicca",Aduersus nationes (80086)
"44554 : Arnobius, the Younger","Arnobius, the Younger","Expositiunculae in Euangelium Iohannis euangelistae, Matthaei, et Lucae (80089)"
"44554 : Arnobius, the Younger","Arnobius, the Younger",Liber ad Gregoriam in Palatio constitutam (80090)
"44554 : Arnobius, the Younger","Arnobius, the Younger",Praedestinatus (80091)
"44554 : Arnobius, the Younger","Arnobius, the Younger",Annotationes in Quaedam Evangeliorum Loca (90735)
"44554 : Arnobius, the Younger","Arnobius, the Younger",Commentarii in Psalmos (80087)
"44554 : Arnobius, the Younger","Arnobius, the Younger",Conflictus cum Serapione (80088)
"44557 : Arnulf, of Lisieux","Arnulf, of Lisieux",Epistula ad Henricum legatum (82332)
"44557 : Arnulf, of Lisieux","Arnulf, of Lisieux",Carmina (89447)
"44558 : Arnulf, of Milan","Arnulf, of Milan",Liber gestorum recentium (82333)
"44560 : Asser, John","Asser, John",Gesta Aelfredi regis Anglosaxonum (82334)
