DLL Author Name,Authorized Name,DLL Work Record
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Philemonem  (89365)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420","In die dominica Paschae, I (80674)"
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Osee  (89334)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentarius in Ecclesiasten (80642)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Genesis  (89302)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Altercatio Luciferiani et Orthodoxi (80611)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Vita S. Hilaronis Eremitae (80737)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in libro Psalmorum iuxta Hebraeos (80705)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Hebraeos  (89366)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420","In die dominica Paschae, II (80675)"
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Ioel  (89335)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentarius In Evangelium Secundum Marcum [Incertus] (80643)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Exodus  (89303)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Vita S. Paul Primi Eremitae (80738)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in Origenis homiliis II in Canticum (80706)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Iacobi  (89367)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",In Esaia paruula adbreuiatio (80676)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Amos (89336)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Contra Iohannem (80644)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Leviticus  (89304)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Apologia aduersus libros Rufini (80612)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Vita sancti Hilarionis (80739)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in Origenis homiliis XIV in Ezechielem (80707)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Petri I  (89368)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Petri II  (89369)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",In Hieremiam prophetam libri VI (80677)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Abdias (89337)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Contra Vigilantium (80645)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Numeri  (89305)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Canones poenitentiales (80613)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Vita sancti Pauli (80740)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in Origenis homiliis XXXIX in Lucam (80708)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Iohannis I  (89370)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",In Lamentationes Jeremiae (80678)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Ionas  (89338)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",De Benedictionibus Jacob patriarchae (80646)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Deuteronomium  (89306)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Abacuc (80614)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in Pachomiana Latina (80709)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Iohannis II  (89371)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420","In psalmum XXXXI, ad neophytos (80679)"
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Michas  (89339)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",De decem Tentationibus populi Israel in deserto (80647)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Iosue  (89307)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Abdiam (80615)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in Victorini Poetouionensis Commentariis in Apocalypsim Iohannis (80710)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Iohannis III  (89372)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Instituta S. Pachomi (80680)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Nahum  (89340)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420","De exodo, in uigilia Paschae (80648)"
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Iudicum (89308)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Aggaeum (80616)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Prologus duodecim prophetarum (80711)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Iudae  (89373)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420","Interpretatio homiliarum duarum Origenis in Canticum, ad Damasum papam (80681)"
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Habacuc  (89341)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",De formis Hebraicarum litterarum (80649)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Ruth  (89309)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Amos (80617)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Prologus Hiezecihelis prophetae (80712)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Prologus in Danihele (80713)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Apocalypsis (89374)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Comitis (80682)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Sophonias  (89342)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",De Nominibus Hebraicis (80650)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Regum sive Samuelis primus (89310)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Canticum Debborae (80618)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Prologus in libris Salomonis de hebraeo translatis (80714)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Oratio Manasse  (89375)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber De Expositione Psalmorum (80683)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Aggaeus  (89343)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",De persecutione christianorum (80651)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Regum sive Samuelis secundus (89311)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Epistolam ad Ephesios (80619)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Prologus in libro Iob de graeco emendato (80715)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Esdrae (sive Ezrae) III (89376)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber de perpetua virginitate B. Mariae (80684)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Zacharias  (89344)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",De Situ et Nominibus Locorum Hebraicorum (80652)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Regum tertius (89312)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Epistolam ad Galatas (80620)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Prologus in libro Iob de hebraeo translato (80716)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Esdrae (sive Ezrae) IIII (89377)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber interpretationis hebraicorum nominum (80685)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Malachias  (89345)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",De uiris illustribus (80653)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Regum quartus (89313)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Epistolam ad Philemonem. (80621)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Prologus in libro Paralipomenon de hebraeo translato (80717)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Psalmus CLI  (89378)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Nominum Graecorum ex Actis (80686)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber primus Macchabaeorum  (89346)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",De vitis apostolorum (80654)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber primus Paralipomenon (89314)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Epistolam ad Titum (80622)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Prologus in libro Psalmorum (80718)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber quaestionum hebraicarum in Genesim (80687)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber secundus Macchabaeorum  (89347)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Dialogi contra Pelagianos libri III (80655)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber secundus Paralipomenon (89315)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Jeremiam (80623)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Prologus in libro Regum (80719)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Laodicenses  (89379)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber tertius aduersus libros Rufini (80688)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Evangelium secundum Matthaeum  (89348)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Didymi de Spiritu Sancto (80656)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Esdrae (sive Ezrae) primus (89316)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Joelem (80624)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Prologus in Pentateucho (80720)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Martyrologium (80689)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Evangelium secundum Marcum  (89349)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistola Ad Constantinum [Incertus] (80657)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Esdrae (sive Ezrae) secundus (89317)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Jonam (80625)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Prologus Iudith (80721)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Monita S. Pachomii (80690)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Evangelium secundum Lucam  (89350)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistola ad Desiderium de duodecim doctoribus (80658)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Tobias (89318)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in librum Job (80626)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Prologus Tobiae (80722)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",PP. Pachomii et Theodori Epistolae et verba mystica (80691)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Evangelium secundum Iohannem  (89351)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula ad Praesidium (80659)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Iudith (89319)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Biblia Sacra Vulgata (89766)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Malachiam (80627)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Quaestiones Hebraicae in libros Regum et Paralipomenon (80723)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praecepta ac leges S. Pachomii (80692)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Actuum Apostolorum (89352)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistulae (80660)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Esther  (89320)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Michaeam (80628)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Naum (80629)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Quaestionum Hebraicarum in Genesim  (Hebraicarum Quaestionum in Genesim) (80724)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praecepta et judicia S. Pachomii (80693)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Romanos  (89353)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Eusebii Caesariensis Chronicon: Hieronymi continuatio (80661)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Iob  (89321)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Indiculus de haeresibus (dub.) (90380)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Osee (80630)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Regula monachorum (80725)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio Hester (80694)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Corinthios I  (89354)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Expositio interlinearis in librum Job (80662)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Psalmorum (89322)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",De Deo et nominibus ejus (dub.) (91200)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Pauli Epistolas (80631)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Regula S. Pachomii (80726)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Corinthios II  (89355)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Expositio Quatuor Evangeliorum [Incertus] (80663)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Proverbiorum (89323)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Sophoniam (80632)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Sermo de die epiphaniorum et de psalmo XXVIII (80727)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in Euangelio (80695)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Galatas  (89356)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Homilia de natiuitate Domini (80664)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Ecclesiastes  (89324)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in XII Prophetas Minoras (80633)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Sermo de quadragesima (80728)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in Eusebii Caesariensis Chronicon (80696)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Ephesios  (89357)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Homilia in euangelium secundum Matthaeum (80665)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Canticum Canticorum  (89325)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentaria in Zachariam (80634)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Tractatus de oboedientia (80729)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in Eusebii Caesariensis Onomasticon (80697)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Philippenses  (89358)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Homilia in Iohannem euangelistam (80666)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Sapientiae  (89326)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Liber Iesu filii Sirach sive Ecclesiasticus  (89327)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentarii in Danielem (80635)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Tractatus in Marci euangelium (80730)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in Isaia propheta (80698)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Colossenses  (89359)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420","Homilia in Lucam, de Lazaro et diuite (80667)"
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Isaias  (89328)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentarii in euangelium Matthaei (80636)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Tractatus LIX in psalmos (80731)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in libris Salomonis de graeco emendatis (80699)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Thessalonicenses I  (89360)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Homilia in Monachos (80668)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Hieremias  (89329)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentarii in Ezechielem (80637)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Tractatuum in psalmos series altera (80732)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in libro Didymi Alexandrini De spiritu sancto (80700)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Thessalonicenses II  (89361)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Homiliae in Cantica Canticorum (80669)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Lamentationes  (89330)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentarii in Isaiam (80638)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Victorini Poetouionensis Commentarii in Apocalypsim Iohannis capitula retractata (Apc. 20  - 21) (80733)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in libro Ezrae (80701)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Timotheum I  (89362)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Homiliae novem in Visiones Iesaiae (80670)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Baruch (89331)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Commentarii in IV epistulas Paulinas (80639)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Biblia sacra iuxta Vulgatam versionem (Vetus Testamentum) (89299)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Vita Beatae Fabiolae (80734)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Praefatio in libro Hieremiae prophetae (80702)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Epistula Pauli ad Timotheum II  (89363)
"44880 : Jerome, Saint, 419 or 420","Jerome, Saint, 419 or 420",Homiliae Origenis XXVIII (80671)
"44881 : Hilary, Saint, Archbishop of Arles","Hilary, Saint, Archbishop of Arles",Carmina (80741)
"44881 : Hilary, Saint, Archbishop of Arles","Hilary, Saint, Archbishop of Arles",Epistulae ad Eucherium (80742)
"44881 : Hilary, Saint, Archbishop of Arles","Hilary, Saint, Archbishop of Arles",Metrum In Genesim Ad Leonem Papam (80743)
"44881 : Hilary, Saint, Archbishop of Arles","Hilary, Saint, Archbishop of Arles",Sermo De Miraculo Sancti Genesii Martyris Arelatensis (80744)
"44881 : Hilary, Saint, Archbishop of Arles","Hilary, Saint, Archbishop of Arles",Sermo De Vita Sancti Honorati Episcopi Arelatensis (80745)
"44881 : Hilary, Saint, Archbishop of Arles","Hilary, Saint, Archbishop of Arles",Versus In Natali Machabeorum Martyrium (80746)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Spuria (80767)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Tractatus mysteriorum (80768)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Tractatus super psalmos (80769)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Apologetica ad reprehensores libri de Synodis responsa (80747)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Censura alterius hymni Hilario perperam tributi (80748)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Collectanea Antiariana Parisina (80749)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Commentarius in Matthaeum (80750)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",De trinitate (80751)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Fragmenta minora (80752)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Hilarii epistola ad Abram filiam suam (80753)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Hymni (80754)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Hymnus de Christo (80755)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Liber contra Arianos vel Auxentium (80756)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Liber contra Constantium (80757)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Liber de Filii et Patris Unitate (80758)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Hymnus eidem ab eodem missus (90846)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Liber de Synodis seu Fide Orientalium (80759)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Liber de Essentia Patris et Filii (90847)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Liber in Constantium imperatorem (80760)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Libri duo ad Constantium Augustum (80761)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Libri tres adversum Valentem et Ursacium (80762)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Oratio Synodi Sardicensis ad Constantium Imperatorem (80763)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Psalmorum XV. XXXI et XLI Interpretatio (80764)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",S. Hilarii Epistola seu Libellus cum praefatione et dissertationibus (80765)
"44882 : Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, -367?",Sermo B. hilarii de dedicatione ecclesiae (80766)
"44883 : Hilary, Pope","Hilary, Pope",Decreta (80770)
"44883 : Hilary, Pope","Hilary, Pope",Epistolae (80771)
"44884 : Hildebert, Archbishop of Tours","Hildebert, Archbishop of Tours",Vita beatae Mariae Aegyptiacae (82910)
"44885 : Hildegard, Saint","Hildegard, Saint",De regula sancti Benedicti (82911)
"44885 : Hildegard, Saint","Hildegard, Saint",Explanatio Symboli sancti Athanasii (82912)
"44885 : Hildegard, Saint","Hildegard, Saint",Expositiones Euangeliorum (82913)
"44885 : Hildegard, Saint","Hildegard, Saint",Liber diuinorum operum (82914)
"44885 : Hildegard, Saint","Hildegard, Saint",Liber uitae meritorum (82915)
"44885 : Hildegard, Saint","Hildegard, Saint","Orationes, mediationes, uisiones et alia (82916)"
"44885 : Hildegard, Saint","Hildegard, Saint",Ordo uirtutum (82917)
"44885 : Hildegard, Saint","Hildegard, Saint",Sciuias (82918)
"44885 : Hildegard, Saint","Hildegard, Saint",Symphonia harmoniae caelestium reuelationum (82919)
"44885 : Hildegard, Saint","Hildegard, Saint",Causae et curae (82920)
