Nid,DLL Author Record,Authorized Name,Author Name Latin,Author Name English,Author Name Native Language,Also known as,Other Alternative Name Form(s),Time Period,LoC Source,LofC URI,LoC ID,VIAF Source,PHI Author Name,Perseus Name,BNE Name,BNF Name,DNB Name,ICCU Name,ISNI Name,WorldCat Identity
89697,"89697 : Madvig, J. N. (Johan Nikolai), 1804-1886","Madvig, J. N. (Johan Nikolai), 1804-1886",,,,,,Neo-Latin,https://lccn.loc.gov/n79089670,http://id.loc.gov/authorities/names/n79089670,n79089670,https://viaf.org/viaf/49356879,,,,,,,,
45809,"45809 : Maecenas, Gaius Cilnius","Maecenas, Gaius Cilnius",Gaius Cilnius Maecenas,,Gaius Cilnius Maecenas,,,Classical,http://lccn.loc.gov/n94110034,https://id.loc.gov/authorities/names/n94110034,n94110034,http://viaf.org/viaf/36906810,Gaius Cilnius Maecenas,"Maecenas, Gaius Cilnius, ca. 70 B.C.-8 B.C.",,Mécène 0069?-0008? av. J.-C.,"Maecenas, Gaius Cilnius v70-v8",,Mécène 0069?-0008? av. J.-C.,https://www.worldcat.org/identities/lccn-n94110034
45830,"45830 : Maecianus, L. Volusius (Lucius Volusius)","Maecianus, L. Volusius (Lucius Volusius)",Lucius Volusius Maecianus,,Lucius Volusius Maecianus,,,Classical,http://lccn.loc.gov/nr95037316,https://id.loc.gov/authorities/names/nr95037316,nr95037316,http://viaf.org/viaf/61905645,Lucius Volusius Maecianus,"Maecianus, L. Volusius (Lucius Volusius), 2nd cent.","Volusio Meciano, Lucio",,"Maecianus, Lucius Volusius -175",,Луций Волузий Мециан,https://www.worldcat.org/identities/lccn-nr95037316
90690,"90690 : Maeonius Astyanax, 3rd Century A.D.","Maeonius Astyanax, 3rd Century A.D.",,,,,,,,,,http://viaf.org/viaf/250876211,,,,,Maeonius Astyanax 3. Jh.,,,
71446,"71446 : Maffei, Giovanni Pietro, 1536?-1603","Maffei, Giovanni Pietro, 1536?-1603",Ioannes Petrus Maffeius Bergomatis,John Peter Maffei,Giovanni Pietro Maffei,,,Neo-Latin,http://lccn.loc.gov/n86860127,https://id.loc.gov/authorities/names/n86860127,n86860127,http://viaf.org/viaf/95224833,,,,Maffei Giovanni Pietro 1533?-1603,"Maffei, Giovanni Pietro 1533-1603",,"Maffei, Giovanni Pietro ca 1536-1603",https://www.worldcat.org/identities/lccn-n86860127
71447,"71447 : Magliabechi, Antonio, 1633-1714","Magliabechi, Antonio, 1633-1714",Antonius Magliabechius,,Antonio Magliabechi,,,Neo-Latin,http://lccn.loc.gov/n80050251,https://id.loc.gov/authorities/names/n80050251,n80050251,http://viaf.org/viaf/121651239,,,,Magliabechi Antonio 1633-1714,"Magliabechi, Antonio 1633-1714","Magliabechi , Antonio","Magliabechi, Antonio",https://www.worldcat.org/identities/lccn-n80050251
89842,89842 : Magnetes,Magnetes,Magnetes,,,,,,,,,http://viaf.org/viaf/37257036,,Magnetes,,,Magnetes,,,
91847,"91847 : Magnus, Hugo, 1851-1924","Magnus, Hugo, 1851-1924",,,,,,Neo-Latin,https://lccn.loc.gov/c.gov/authorities/names/nb2015003541,https://id.loc.gov/authorities/names/nb2015003541,nb2015003541,http://viaf.org/viaf/62306539,,,,,"Magnus, Hugo 1851-1924",,Hugo Magnus,https://www.worldcat.org/identities/lccn-nb2015003541
45018,"45018 : Magnus, of Reichersberg","Magnus, of Reichersberg",Magnus Reicherspergensis,Magnus of Reichersburg,Magnus von Reichersberg,,,Medieval,,,,http://viaf.org/viaf/288846601,,,,,,,,
89537,"89537 : Maier, Anneliese, 1905-1971","Maier, Anneliese, 1905-1971",,,,,,Neo-Latin,https://lccn.loc.gov/n81140054,http://id.loc.gov/authorities/names/n81140054,n81140054,https://viaf.org/viaf/109222111,,,,,,,,
